crate/cratesio/-/aes/0.8.4, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #4260
crate/cratesio/-/ahash/0.8.12, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/aho-corasick/1.1.5, MIT OR Unlicense, approved, #11397
crate/cratesio/-/alloc-no-stdlib/2.0.4, BSD-3-Clause, approved, clearlydefined
crate/cratesio/-/alloc-stdlib/0.2.4, BSD-3-Clause, approved, clearlydefined
crate/cratesio/-/allocator-api2/0.2.21, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/anstream/1.0.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26534
crate/cratesio/-/anstyle-parse/1.0.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26535
crate/cratesio/-/anstyle-query/1.1.5, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #15147
crate/cratesio/-/anstyle/1.0.14, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #25466
crate/cratesio/-/antlr4rust/0.5.2, BSD-3-Clause, approved, #31125
crate/cratesio/-/anyhow/1.0.104, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #16097
crate/cratesio/-/arc-swap/1.9.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #27041
crate/cratesio/-/arraydeque/0.5.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/arrayvec/0.7.8, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #16981
crate/cratesio/-/astral-tokio-tar/0.5.6, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/async-channel/2.5.0, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/async-stream-impl/0.3.6, MIT, approved, clearlydefined
crate/cratesio/-/async-stream/0.3.6, MIT, approved, clearlydefined
crate/cratesio/-/async-trait/0.1.92, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #6666
crate/cratesio/-/atoi/2.0.0, MIT, approved, clearlydefined
crate/cratesio/-/atomic-waker/1.1.2, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/aws-config/1.12.0, , restricted, clearlydefined
crate/cratesio/-/aws-credential-types/1.3.0, Apache-2.0, approved, #31101
crate/cratesio/-/aws-lc-rs/1.18.1, , restricted, clearlydefined
crate/cratesio/-/aws-lc-sys/0.45.0, , restricted, clearlydefined
crate/cratesio/-/aws-runtime/1.9.4, , restricted, clearlydefined
crate/cratesio/-/aws-sdk-s3/1.148.0, , restricted, clearlydefined
